X,Y,FID,OBJECTID_1,OBJECTID,NAME,TYPE,LON,LAT,MAJOR_WATE,GEO_NOTES,COUNTY,GNOME,TB_MODEL,GNOME_Y_N,TB_MODEL_Y,QCSURVEY,QCIMAGE,QC_CITIZEN,OBJECTID_2,ESI,LINE,ENVIR,MOST_SENSI,LANDWARD_S,SEAWARD_SH,SEAWARD__1,GENERAL_SY,GENERALIZE,SOURCE_ID,ESI_SOURCE,Distance
-82.6857744282476,27.7443622843559,1,1,38,Clam Bayou Watergoat,Imagery,-82.6857709922,27.7443571196,Clam Bayou,Obvious watergoat at work from imagery.,Pinellas, , ,No,No, , , ,6481,10C,S,E,10C,10C: Swamps, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,124.735673056
-82.4366927274384,27.8768012482536,2,2,98,Tampa Spoil Island North,"GNOME Model, TB-ECOM Model",-82.4366893586,27.8767960449,Hillsborough Bay, , ,June Model,10 Day Dry,Yes,Yes, , , ,8959,10F/3A/7,S,E,10F,10F: Mangroves,3A: Fine- to medium-grained sand beaches,7: Exposed tidal flats,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Beaches (sand or gravel) / Flats (mud or sand),219000006,219000016,0.257319443138
-82.5808698152568,27.5934610898652,3,3,106,Terra Ceia Preserve State Park West,"GNOME Model, TB-ECOM Model",-82.5808664143,27.5934559593,Williams Bayou,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes,"Accumulation Survey  - Unverified, 6/1/2018", , ,9598,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,32.3024975357
-82.5752780810909,27.6012538275552,4,4,107,Terra Ceia Preserve State Park East,"GNOME Model, TB-ECOM Model",-82.575274681,27.6012486942,Clambar Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes, , , ,9603,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,14.0043122371
-82.7235394869093,27.6734049642313,5,5,124,Pardee Key,"GNOME Model, TB-ECOM Model",-82.7235360416,27.6733998175,Tampa Bay, , ,February model simulation (SE wind),10 Days Wet,Yes,Yes, , , ,9724,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,2.93180582344
-82.6950801023269,27.7011308457225,6,6,103,Indian Key,"GNOME Model, TB-ECOM Model",-82.695076665,27.7011256912,Boca Ciega Bay, ,Pinellas,Deposits on western shore,10 Days Wet,Yes,Yes, , , ,9797,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,7.15508297022
-82.5142448922792,27.7039275956317,7,7,112,Gooseneck Pass,"GNOME Model, TB-ECOM Model",-82.5142415067,27.7039224359,Cockroach Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),1 Day Dry,Yes,Yes, , , ,9828,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,12.6273689921
-82.4935146061132,27.7165554985256,8,8,104,Sand Key,"GNOME Model, TB-ECOM Model",-82.4935112261,27.7165503354,Little Cockroach Bay,Seen in GNOME modelling,Pinellas,June 30 day simulation (SW wind),1 Day Dry,Yes,Yes, , , ,9903,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,16.9305683694
-82.6384827189298,27.8937824562083,9,9,36,MLK Old Tampa Bay,TB-ECOM Model,-82.6384792914,27.8937772542,Old Tampa Bay,Lots of garbage near the boat ramp and overpasses.,Pinellas, ,5 Day Wet,No,Yes, , , ,10357,10F,S,E,10F,10F: Mangroves, , ,5,Vegetated (grass/marsh/mangroves/scrub-shrub),219000006,219000016,11.17731517
-82.61122341799,27.5824144387181,10,10,105,South Sunshine Skyway,GNOME Model,-82.6112200083,27.5824093111,Tampa Bay, , ,June 30 day simulation (SW wind), ,Yes,No, , , ,12275,10F/7,S,E,10F,10F: Mangroves,7: Exposed tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,1.96302418383
-82.7141147618003,27.7044675099632,11,11,101,Isla Del Sol,TB-ECOM Model,-82.7141113191,27.7044623555,Boca Ciega Bay, ,Pinellas, ,10 Days Wet,No,Yes, , , ,12311,10F/7,S,E,10F,10F: Mangroves,7: Exposed tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,2.9973381379
-82.7757717766778,27.786759039281,12,12,96,Eleanor Island,Field Observation,-82.7757683131,27.7867538667,Boca Ciega Bay,Known location for oil deposits from 1993 oil spill.,Pinellas, , ,No,No, , , ,12335,10F/7,S,E,10F,10F: Mangroves,7: Exposed tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,9.8460830101
-82.417991843297,27.8462559015753,13,13,99,Nina Island,"GNOME Model, TB-ECOM Model",-82.4179884811,27.8462507056,Hillsborough Bay, , ,June Model,1 Day Dry,Yes,Yes, , , ,12354,10F/7,S,E,10F,10F: Mangroves,7: Exposed tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,26.4678819099
-82.5655520322895,27.6168095572389,14,14,108,Port Manatee Ecological Park,"GNOME Model, TB-ECOM Model",-82.5655486345,27.6168044202,Tampa Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes, , , ,12983,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,17.8381913284
-82.5574618623329,27.6409016059697,15,15,110,Piney Point,"GNOME Model, TB-ECOM Model",-82.5574584669,27.6408964626,Tampa Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),5 Day Dry,Yes,Yes, , , ,12996,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,10.94390903
-82.5431256064928,27.661989585221,16,16,111,Moody Point,GNOME Model,-82.5431222138,27.6619844364,Piney Point Creek,Seen in GNOME Model, ,June 30 day simulation (SW wind), ,Yes,No, , , ,13009,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,10.791707709
-82.4916066931459,27.7113729316119,17,17,114,Little Cockroach Bay,"GNOME Model, TB-ECOM Model",-82.4916033145,27.7113677697,Little Cockroach Bay,Seen in GNOME Model, ,June 30 day simulation (SW wind),1 Day Dry,Yes,Yes, , , ,13072,10F/9A,S,E,10F,10F: Mangroves,9A: Sheltered tidal flats, ,5,Vegetated (grass/marsh/mangroves/scrub-shrub) / Flats (mud or sand),219000006,219000016,18.6971075344
